"Time","value"
2026-01-15 16:08:06,-0.799
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.817
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.817
2026-01-15 16:08:06,-0.799
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.887
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.939
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.887
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.887
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.817
2026-01-15 16:08:06,-0.817
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.887
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.747
2026-01-15 16:08:06,-0.887
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.887
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.817
2026-01-15 16:08:06,-0.817
2026-01-15 16:08:06,-0.782
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.782
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.904
